    =========================================
    === Propagation: Diffraction and Kerr ===
    =========================================

MPI grid size: 32
OpenMP threads: 1

Impulse parameters:
    N: 8192
    L: 10.000000
    Impulse file: /home/shlenov/Documents/efimov/data/impulses/cos_ort_n8192_p1_a.cpl

Initial phasescreen parameters:
    Phasescreen file: 
    Phasescreen amplitude: -1.000000

Calculation parameters:
    z_final: 0.200000
    intensity_final: 50.000000
    dz: 0.002000
    R: 100.000000
    dfi=0.5*R*dz: 0.100000, bad [!]
    Steps: 100.000000

Lens transform isn't used

=======================================================

Step     dz          z           I_max             I_max_gauss
00092    0.000593    0.113031    2.760477494866    0.987385079363
00093    0.000580    0.113611    2.822145303712    0.987257025224
00094    0.000567    0.114178    2.888931743280    0.987131167967
00095    0.000554    0.114732    2.965649195574    0.987007646555
00096    0.000540    0.115271    3.060916859257    0.986886775696
00097    0.000523    0.115794    3.143885154131    0.986769154389
00098    0.000509    0.116303    3.233687085380    0.986654152978
00099    0.000495    0.116798    3.321874972316    0.986541887586
00100    0.000482    0.117279    3.424385802520    0.986432169475
00101    0.000467    0.117747    3.546990882322    0.986325327836
00102    0.000451    0.118198    3.672487970726    0.986221798327
00103    0.000436    0.118633    3.802157338093    0.986121451596
00104    0.000421    0.119054    3.936778192336    0.986024196074
00105    0.000406    0.119461    4.075371787150    0.985929957666
00106    0.000393    0.119853    4.223741013172    0.985838636306
00107    0.000379    0.120232    4.386621883267    0.985750254915
00108    0.000365    0.120597    4.583833753849    0.985664906724
00109    0.000349    0.120946    4.780370721541    0.985583002314
00110    0.000335    0.121281    4.993051803038    0.985504255782
00111    0.000320    0.121601    5.212361525879    0.985428671416
00112    0.000307    0.121908    5.449956821274    0.985356091137
00113    0.000294    0.122201    5.684676847264    0.985286513898
00114    0.000281    0.122483    5.940028602292    0.985219661625
00115    0.000269    0.122752    6.211889383619    0.985155547717
00116    0.000258    0.123010    6.516471647720    0.985094115826
00117    0.000246    0.123255    6.840776581564    0.985035442558
00118    0.000234    0.123489    7.183825581642    0.984979448560
00119    0.000223    0.123712    7.556744254614    0.984926035704
00120    0.000212    0.123924    7.953887762400    0.984875174870
00121    0.000201    0.124125    8.374076077805    0.984826777864
00122    0.000191    0.124316    8.822918031388    0.984780741016
00123    0.000181    0.124497    9.281199205970    0.984736984659
00124    0.000172    0.124670    9.762733413211    0.984695333352
00125    0.000164    0.124834    10.273848741171    0.984655686274
00126    0.000156    0.124989    10.814634907558    0.984617966306
00127    0.000148    0.125137    11.392316039880    0.984582091649
00128    0.000140    0.125278    11.991794847569    0.984547999279
00129    0.000133    0.125411    12.637451940612    0.984515577982
00130    0.000127    0.125538    13.318189571737    0.984484783179
00131    0.000120    0.125658    14.029728690138    0.984455535455
00132    0.000114    0.125772    14.771575150657    0.984427746800
00133    0.000108    0.125880    15.563607080110    0.984401331839
00134    0.000103    0.125983    16.393929366259    0.984376241415
00135    0.000098    0.126081    17.269068992096    0.984352404006
00136    0.000093    0.126173    18.202999282904    0.984329758589
00137    0.000088    0.126261    19.176768603760    0.984308260614
00138    0.000083    0.126345    20.197953336138    0.984287841295
00139    0.000079    0.126424    21.271837137103    0.984268442655
00140    0.000075    0.126499    22.395229998286    0.984250012787
00141    0.000071    0.126571    23.585242712900    0.984232497890
00142    0.000068    0.126638    24.827658297863    0.984215858145
00143    0.000064    0.126703    26.121716488506    0.984200043343
00144    0.000061    0.126764    27.472151599792    0.984185005013
00145    0.000058    0.126822    28.880408369094    0.984170699601
00146    0.000055    0.126878    30.355573772943    0.984157086032
00147    0.000053    0.126930    31.895392253819    0.984144128861
00148    0.000050    0.126981    33.502156636781    0.984131792544
00149    0.000048    0.127028    35.163735953055    0.984120043636
00150    0.000046    0.127074    36.902350309721    0.984108846046
00151    0.000043    0.127117    38.710691996902    0.984098172524
00152    0.000041    0.127159    40.599248094975    0.984087994433
00153    0.000039    0.127198    42.556766904350    0.984078286912
00154    0.000038    0.127236    44.595886790674    0.984069023290
00155    0.000036    0.127271    46.727052721740    0.984060180852
00156    0.000034    0.127306    48.945449391381    0.984051739530
00157    0.000033    0.127338    51.245258058157    0.984043678818

Execution time(min):
9.669770

Execution time(sec):
580.186213
