np   N=512                N=1024                N=2048                N=4096                N=8192                N=16384                
1    5.41    1    100    27.82    1    100    132.60    1    100    581.34    1    100    2406.54    1    100    10092.16    1    100    
2    4.10    1.32    66.05    17.82    1.56    78.06    87.39    1.51    75.87    353.18    1.64    82.29    1461.53    1.64    82.32    5874.07    1.71    85.90    
4    3.14    1.72    43.11    12.05    2.30    57.70    48.70    2.72    68.06    238.11    2.44    61.03    959.72    2.50    62.68    3807.95    2.65    66.25    
8    2.44    2.21    27.65    6.81    4.08    51.04    35.30    3.75    46.95    182.97    3.17    39.71    703.88    3.41    42.73    2833.29    3.56    44.52    
16    8.49    0.63    3.98    13.41    2.07    12.96    27.34    4.84    30.30    121.19    4.79    29.97    420.07    5.72    35.80    1515.30    6.66    41.62    
32    20.95    0.25    0.80    18.62    1.49    4.66    27.14    4.88    15.26    73.79    7.87    24.61    268.85    8.95    27.97    833.00    12.11    37.86    
