np       N=    512                    N=   1024                    N=   2048                    N=   4096                    N=   8192                    N=  16384                
 1       4.30     1.00   100.00      22.50     1.00   100.00     101.44     1.00   100.00     507.13     1.00   100.00    2209.60     1.00   100.00    9918.28     1.00   100.00   
 2       2.74     1.57    78.50      14.34     1.57    78.50      66.58     1.52    76.00     298.31     1.70    85.00    1282.18     1.72    86.00    5462.05     1.82    91.00   
 4       1.59     2.71    67.75       8.44     2.67    66.75      41.86     2.42    60.50     189.25     2.68    67.00     785.26     2.81    70.25    3243.22     3.06    76.50   
 8       1.06     4.07    50.88       4.44     5.07    63.38      29.27     3.47    43.38     136.43     3.72    46.50     545.95     4.05    50.62    2303.69     4.31    53.87   
16       0.96     4.49    28.06       2.98     7.55    47.19      12.95     7.83    48.94      70.29     7.21    45.06     281.66     7.84    49.00    1148.04     8.64    54.00   
24       1.47     2.93    12.21       2.45     9.19    38.29       8.85    11.46    47.75      74.51     6.81    28.38     281.56     7.85    32.71    1427.06     6.95    28.96   
32       0.78     5.52    17.25       2.53     8.90    27.81       6.09    16.66    52.06      34.71    14.61    45.66     146.02    15.13    47.28     591.13    16.78    52.44   
48       1.57     2.74     5.71       2.54     8.86    18.46       5.84    17.37    36.19      27.48    18.45    38.44     167.62    13.18    27.46     570.75    17.38    36.21   
64       2.65     1.63     2.55       2.40     9.38    14.66       4.59    22.10    34.53      17.12    29.62    46.28      77.14    28.64    44.75     306.86    32.32    50.50   
