N = 1024
np   buff_trans   nobuff_trans      buff_norm     nobuff_norm    buff_trans_meas  nobuff_trans_meas    buff_norm_meas    nobuff_norm_meas
 1     0.315087        0.284445        0.385715        0.327020        0.312058        0.285616        0.392864        0.325655      
 2     0.189936        0.209218        0.259571        0.285557        0.186864        0.206081        0.257937        0.283268      
 4     0.105766        0.097336        0.153222        0.137162        0.106537        0.098717        0.151347        0.137440      
 8     0.078349        0.067456        0.121062        0.104080        0.075763        0.067468        0.121615        0.103391      
16     0.083463        0.059293        0.103914        0.091776        0.099517        0.080571        0.102735        0.073405      
24     0.065971        0.077563        0.071668        0.098567        0.061910        0.081485        0.085710        0.089919      
32     0.083756        0.067495        0.093246        0.083638        0.077587        0.061839        0.068970        0.081149      
48     0.067614        0.049206        0.076583        0.079269        0.074725        0.062369        0.073532        0.085432      
64     0.086079        0.071117        0.095499        0.082695        0.085509        0.060331        0.096174        0.085941      
