N = 16384
np   buff_trans   nobuff_trans      buff_norm     nobuff_norm    buff_trans_meas  nobuff_trans_meas    buff_norm_meas    nobuff_norm_meas
 1   147.225396      126.055878      230.187698      175.268525      154.054925      126.822104      228.676594      173.698378      
 2    83.743278       71.037820      126.608568      100.016000       82.985000       70.335403      126.042957       99.305587      
 4    51.514368       43.237794       80.761883       63.176530       52.178151       44.329692       80.193619       64.231455      
 8    36.461677       31.261144       58.699015       48.127668       36.437339       31.443677       58.441520       48.086929      
16    19.402366       15.667195       31.798067       23.792274       19.739374       15.633924       32.378212       23.745396      
32    11.131615        8.169244       19.055602       12.342867       11.237028        8.239274       19.129918       12.402812      
64     6.810226        4.442211       11.692143        6.597326        6.866438        4.450945       11.876839        6.658559      
