N = 8192
np   buff_trans   nobuff_trans      buff_norm     nobuff_norm    buff_trans_meas  nobuff_trans_meas    buff_norm_meas    nobuff_norm_meas
 1    32.047746       27.943647       46.142490       37.989725       31.371836       27.116232       46.012705       37.051740      
 2    18.330807       17.342618       28.564619       25.157550       18.103538       17.090875       27.335439       24.934132      
 4    10.649470        9.992451       16.167555       14.654181       10.485793        9.888742       15.881786       14.722341      
 8     8.186731        7.055682       13.254092       10.858257        8.123202        7.054162       13.470480       10.694453      
16     4.578155        3.650376        8.896609        5.829310        5.434759        3.883759        9.007763        5.863832      
24     3.306928        3.954479        5.107371        6.371494        3.302976        3.950000        5.218695        6.388671      
32     3.328912        2.145606        5.578273        3.113655        3.344344        2.108997        5.567520        3.127595      
48     2.119144        2.392060        3.479239        3.994011        2.137570        2.408271        3.490826        4.000107      
64     1.971930        1.119907        3.343480        1.646916        1.969119        1.131735        3.317018        1.654235      
