N = 4096
np   buff_trans   nobuff_trans      buff_norm     nobuff_norm    buff_trans_meas  nobuff_trans_meas    buff_norm_meas    nobuff_norm_meas
 1     7.666367        6.595568       10.722488        8.808699        7.387747        6.316172       10.847118        8.503756      
 2     4.421072        4.135122        6.693489        6.009125        4.407226        4.130592        6.536183        5.945466      
 4     2.662985        2.376077        4.099430        3.475264        2.620697        2.361748        4.031510        3.457266      
 8     2.087719        1.718401        3.370668        2.624388        2.014140        1.690176        3.300000        2.619618      
16     1.253364        0.908239        1.987688        1.348497        1.224308        0.892361        1.985675        1.381488      
24     0.962328        1.065848        1.511822        1.741537        0.927021        1.045989        1.520500        1.717939      
32     0.887834        0.557031        1.418138        0.751312        0.856477        0.537689        1.407569        0.776487      
48     0.421632        0.434940        0.627021        0.642154        0.411459        0.438492        0.615882        0.673696      
64     0.362808        0.261656        0.534949        0.390479        0.332851        0.250729        0.533772        0.393722      
