np       N=    512                    N=   1024                    N=   2048                    N=   4096                    N=   8192                    N=  16384                
 1       4.93     1.00   100.00      23.63     1.00   100.00     109.55     1.00   100.00     539.98     1.00   100.00    2337.09     1.00   100.00   10058.66     1.00   100.00   
 2       3.26     1.51    75.50      16.04     1.47    73.50      73.84     1.48    74.00     325.44     1.66    83.00    1411.93     1.66    83.00    5509.39     1.83    91.50   
 4       2.08     2.37    59.25      10.26     2.30    57.50      47.23     2.32    58.00     216.49     2.49    62.25     899.63     2.60    65.00    3677.22     2.74    68.50   
 8       1.57     3.14    39.25       6.10     3.88    48.50      34.89     3.14    39.25     164.03     3.29    41.12     655.29     3.57    44.62    2734.48     3.68    46.00   
16       9.31     0.53     3.31      15.39     1.54     9.62      25.07     4.37    27.31      94.95     5.69    35.56     372.53     6.27    39.19    1377.38     7.30    45.62   
24      11.54     0.43     1.79      13.45     1.76     7.33      17.31     6.33    26.38      97.53     5.54    23.08     364.27     6.42    26.75    1606.06     6.26    26.08   
32       8.69     0.57     1.78       9.40     2.51     7.84      19.27     5.69    17.78      56.96     9.48    29.62     227.56    10.27    32.09     751.28    13.39    41.84   
48      14.94     0.33     0.69       9.47     2.50     5.21      18.50     5.92    12.33      44.64    12.10    25.21     233.79    10.00    20.83     705.92    14.25    29.69   
64      18.47     0.27     0.42      17.68     1.34     2.09      21.02     5.21     8.14      37.57    14.37    22.45     134.21    17.41    27.20     438.99    22.91    35.80   
