np  N=512                       N=1024                        N=2048                        N=4096                        
 4  39     4         100        255     4         100         1171    4          100        4800   4          100
 8  24.3   6.41975   80.24687   133.9   7,61762   95.22031    602.3   7.77686    97.21069   3245   5.9168     73.95994
16  101    1.54455   9,65343    105     9.71429   60.71429    411.6   11.37998   71.12488   1967   9.76106    61.00661
32  182    0.85714   2,67856    152.7   6.67976   20.87426    241.1   19.42762   60.71132   936    20.51282   64.10256
