np  N=512                       N=1024                        N=2048                        N=4096                        
 4  41.1   4         100        262.6   4         100         1171    4          100        4800   4          100
 8  45.7   3.5958    44.9475    208.8   5.02862   62,85775    620.3   7.55118    94,38975   3342   5.74506    71,81325
16  156.4  1.05077   6,56731    220.4   4.76396   29,77475    864.4   5.41878    33,86737   2056   9.33851    58,36568
32  360.7  0.45566   1,42393    486.3   2.15911   6,747218    766.8   6.108493   19,08904   997    19.25774   60,18043
