np   N=512                N=1024                N=2048                N=4096                N=8192                N=16384                
1    4.39    1    100    23.52    1    100    119.43    1    100    487.79    1    100    2218.63    1    100    10080.54    1    100    
2    2.92    1.50    75.18    14.28    1.64    82.30    68.28    1.74    87.45    305.53    1.59    79.82    1282.79    1.72    86.47    5461.14    1.84    92.29    
4    1.68    2.61    65.32    8.47    2.77    69.40    41.43    2.88    72.05    188.78    2.58    64.59    784.85    2.82    70.67    3155.61    3.19    79.86    
8    1.14    3.85    48.12    4.49    5.23    65.44    28.27    4.22    52.80    134.81    3.61    45.22    556.82    3.98    49.80    2171.71    4.64    58.02    
16    3.19    1.37    8.59    4.52    5.19    32.49    13.92    8.57    53.61    69.59    7.00    43.80    281.44    7.88    49.26    1152.20    8.74    54.68    
32    2.72    1.61    5.04    4.24    5.53    17.29    7.50    15.90    49.71    35.81    13.62    42.56    148.76    14.91    46.60    599.33    16.81    52.56    
