np       N=    512                    N=   1024                    N=   2048                    N=   4096                    N=   8192                    N=  16384                
 4       2.26     4.00   100.00      15.91     4.00   100.00      72.20     4.00   100.00     303.91     4.00   100.00    1209.51     4.00   100.00    6353.74     4.00   100.00   
 8       1.21     7.47    93.38       9.07     7.02    87.75      48.95     5.90    73.75     207.10     5.87    73.38     761.27     6.36    79.50    4033.79     6.30    78.75   
16       0.95     9.52    59.50       4.61    13.80    86.25      26.94    10.72    67.00     100.31    12.12    75.75     416.40    11.62    72.62    1714.05    14.83    92.69   
32       0.46    19.65    61.41       2.47    25.77    80.53      14.35    20.13    62.91      58.77    20.68    64.62     220.40    21.95    68.59     857.28    29.65    92.66   
64       0.53    17.06    26.66       1.25    50.91    79.55       5.47    52.80    82.50      34.16    35.59    55.61     125.58    38.53    60.20     475.40    53.46    83.53   
