np       N=    512                    N=   1024                    N=   2048                    N=   4096                    N=   8192                    N=  16384                
 4       2.75     4.00   100.00      17.28     4.00   100.00      78.88     4.00   100.00     350.80     4.00   100.00    1337.47     4.00   100.00    7906.88     4.00   100.00   
 8       1.77     6.21    77.62      10.52     6.57    82.12      54.17     5.82    72.75     232.18     6.04    75.50     871.04     6.14    76.75    4489.13     7.05    88.12   
16       6.20     1.77    11.06      10.65     6.49    40.56      40.90     7.71    48.19     132.92    10.56    66.00     552.32     9.69    60.56    2136.32    14.80    92.50   
32      11.29     0.97     3.03      11.63     5.94    18.56      22.28    14.16    44.25      73.88    18.99    59.34     289.77    18.46    57.69    1094.69    28.89    90.28   
64       9.92     1.11     1.73      11.47     6.03     9.42      13.33    23.67    36.98      52.21    26.88    42.00     179.97    29.73    46.45     660.70    47.87    74.80   
